
Reboot 2021-05-03 12:14:20 USS4.1.py started16<D<11; F<35 and write F,n=116 t=20min

2021-05-03 12:34:41 n=: 1180 Mittelwert: 30.4  CPU_temp: 33.6 C  T: 16.45 P: 1019.2 Hm: 35.6 F: -0.45
2021-05-03 12:54:41 n=: 2360 Mittelwert: 28.8  CPU_temp: 31.5 C  T: 17.42 P: 1018.9 Hm: 33.6 F: -0.66
2021-05-03 13:14:42 n=: 3540 Mittelwert: 27.6  CPU_temp: 29.3 C  T: 16.32 P: 1018.7 Hm: 34.7 F: -0.43
2021-05-03 13:34:42 n=: 4720 Mittelwert: 26.5  CPU_temp: 28.2 C  T: 15.78 P: 1018.5 Hm: 33.8 F: -0.57
2021-05-03 13:54:43 n=: 5900 Mittelwert: 25.4  CPU_temp: 30.4 C  T: 16.97 P: 1018.2 Hm: 32.9 F: -0.52
2021-05-03 14:14:48 n=: 7080 Mittelwert: 24.2  CPU_temp: 29.3 C  T: 16.18 P: 1018.0 Hm: 34.1 F: -0.52
2021-05-03 14:34:49 n=: 8260 Mittelwert: 23.1  CPU_temp: 29.3 C  T: 15.74 P: 1017.8 Hm: 34.9 F: -0.69
2021-05-03 14:54:49 n=: 9440 Mittelwert: 22.1  CPU_temp: 28.2 C  T: 15.43 P: 1017.6 Hm: 35.7 F: -0.62
2021-05-03 15:14:49 n=: 10620 Mittelwert: 21.0  CPU_temp: 28.8 C  T: 15.41 P: 1017.3 Hm: 35.7 F: -0.5
2021-05-03 15:34:48 n=: 11800 Mittelwert: 20.0  CPU_temp: 30.4 C  T: 16.49 P: 1016.9 Hm: 34.1 F: -0.55
2021-05-03 15:54:48 n=: 12980 Mittelwert: 18.9  CPU_temp: 30.4 C  T: 16.66 P: 1016.7 Hm: 33.8 F: -0.54
2021-05-03 16:14:53 n=: 14160 Mittelwert: 17.9  CPU_temp: 32.0 C  T: 17.81 P: 1016.4 Hm: 32.0 F: -0.54
2021-05-03 16:34:52 n=: 15340 Mittelwert: 16.8  CPU_temp: 30.9 C  T: 16.82 P: 1016.2 Hm: 33.9 F: -0.58
2021-05-03 16:54:52 n=: 16520 Mittelwert: 15.9  CPU_temp: 29.3 C  T: 16.45 P: 1016.0 Hm: 34.3 F: -0.28
2021-05-03 17:14:52 n=: 17700 Mittelwert: 14.9  CPU_temp: 28.2 C  T: 15.65 P: 1015.6 Hm: 36.4 F: -0.41
2021-05-03 17:34:51 n=: 18880 Mittelwert: 14.0  CPU_temp: 30.4 C  T: 16.16 P: 1015.3 Hm: 36.5 F: -0.46
2021-05-03 17:54:50 n=: 20060 Mittelwert: 13.1  CPU_temp: 29.3 C  T: 15.55 P: 1015.0 Hm: 35.6 F: -0.29
2021-05-03 18:14:50 n=: 21240 Mittelwert: 12.3  CPU_temp: 27.7 C  T: 14.96 P: 1014.8 Hm: 37.7 F: -0.4
2021-05-03 18:34:49 n=: 22420 Mittelwert: 11.4  CPU_temp: 28.2 C  T: 14.88 P: 1014.3 Hm: 39.3 F: -0.57
2021-05-03 18:54:52 n=: 23600 Mittelwert: 10.7  CPU_temp: 28.8 C  T: 14.69 P: 1013.9 Hm: 39.0 F: -0.55
2021-05-03 19:14:55 n=: 24780 Mittelwert: 10.0  CPU_temp: 25.6 C  T: 13.77 P: 1013.6 Hm: 40.8 F: -0.01
2021-05-03 19:34:54 n=: 25960 Mittelwert: 10.0  CPU_temp: 25.6 C  T: 13.21 P: 1013.1 Hm: 42.7 F: -0.0
2021-05-03 19:54:54 n=: 27140 Mittelwert: 10.0  CPU_temp: 25.0 C  T: 13.28 P: 1012.8 Hm: 42.5 F: -0.1
2021-05-03 20:14:57 n=: 28320 Mittelwert: 10.0  CPU_temp: 25.0 C  T: 12.8 P: 1012.5 Hm: 43.3 F: -0.06
2021-05-03 20:34:57 n=: 29500 Mittelwert: 10.0  CPU_temp: 23.9 C  T: 12.09 P: 1012.2 Hm: 44.2 F: -0.15
