
Reboot 2021-06-11 23:59:55 USS4.4.py started16<D<11; F<35 and write F,n=116 t=20min

2021-06-12 00:20:25 n=: 1180 Mittelwert: 12.9  CPU_temp: 38.5 C  T: 21.01 P: 1019.4 Hm: 97.0 F: -0.0
2021-06-12 00:40:24 n=: 2360 Mittelwert: 12.9  CPU_temp: 40.1 C  T: 20.81 P: 1019.6 Hm: 97.0 F: -0.0
2021-06-12 01:00:24 n=: 3540 Mittelwert: 12.9  CPU_temp: 32.6 C  T: 20.4 P: 1019.6 Hm: 97.0 F: -0.01
2021-06-12 01:20:24 n=: 4720 Mittelwert: 13.0  CPU_temp: 31.5 C  T: 19.91 P: 1019.7 Hm: 97.0 F: -0.06
2021-06-12 01:40:23 n=: 5900 Mittelwert: 12.9  CPU_temp: 32.6 C  T: 19.29 P: 1019.5 Hm: 97.0 F: 0.01
2021-06-12 02:00:24 n=: 7080 Mittelwert: 13.1  CPU_temp: 31.5 C  T: 19.05 P: 1019.5 Hm: 97.0 F: -0.05
2021-06-12 02:20:24 n=: 8260 Mittelwert: 12.9  CPU_temp: 31.5 C  T: 18.6 P: 1019.4 Hm: 97.0 F: 0.02
2021-06-12 02:40:23 n=: 9440 Mittelwert: 12.9  CPU_temp: 29.9 C  T: 18.49 P: 1019.2 Hm: 97.0 F: -0.03
2021-06-12 03:00:22 n=: 10620 Mittelwert: 12.9  CPU_temp: 30.4 C  T: 18.34 P: 1019.1 Hm: 97.0 F: -0.05
2021-06-12 03:20:22 n=: 11800 Mittelwert: 12.9  CPU_temp: 30.9 C  T: 18.76 P: 1019.1 Hm: 97.0 F: -0.07
2021-06-12 03:40:22 n=: 12980 Mittelwert: 12.9  CPU_temp: 31.5 C  T: 18.71 P: 1018.9 Hm: 97.0 F: -0.05
2021-06-12 04:00:22 n=: 14160 Mittelwert: 12.9  CPU_temp: 32.0 C  T: 19.34 P: 1019.0 Hm: 97.0 F: 0.01
2021-06-12 04:20:21 n=: 15340 Mittelwert: 12.9  CPU_temp: 33.6 C  T: 19.51 P: 1019.0 Hm: 97.0 F: 0.04
2021-06-12 04:40:21 n=: 16520 Mittelwert: 12.9  CPU_temp: 32.6 C  T: 19.18 P: 1019.1 Hm: 97.0 F: -0.05
2021-06-12 05:00:21 n=: 17700 Mittelwert: 12.9  CPU_temp: 30.4 C  T: 18.65 P: 1019.3 Hm: 97.0 F: 0.06
2021-06-12 05:20:21 n=: 18880 Mittelwert: 12.9  CPU_temp: 30.4 C  T: 18.48 P: 1019.5 Hm: 97.0 F: 0.03
2021-06-12 05:40:21 n=: 20060 Mittelwert: 12.9  CPU_temp: 29.3 C  T: 18.17 P: 1019.6 Hm: 97.0 F: 0.0
2021-06-12 06:00:20 n=: 21240 Mittelwert: 12.9  CPU_temp: 29.9 C  T: 18.33 P: 1019.5 Hm: 97.0 F: -0.03
2021-06-12 06:20:20 n=: 22420 Mittelwert: 12.9  CPU_temp: 29.9 C  T: 18.08 P: 1019.6 Hm: 97.0 F: -0.02
2021-06-12 06:40:19 n=: 23600 Mittelwert: 12.9  CPU_temp: 29.9 C  T: 18.15 P: 1019.7 Hm: 97.0 F: 0.03
2021-06-12 07:00:19 n=: 24780 Mittelwert: 12.9  CPU_temp: 30.4 C  T: 18.57 P: 1019.4 Hm: 97.0 F: 0.02
2021-06-12 07:20:18 n=: 25960 Mittelwert: 13.0  CPU_temp: 31.5 C  T: 18.95 P: 1019.2 Hm: 97.0 F: -0.07
2021-06-12 07:40:17 n=: 27140 Mittelwert: 12.7  CPU_temp: 33.6 C  T: 19.57 P: 1019.2 Hm: 97.0 F: -0.07
2021-06-12 08:00:17 n=: 28320 Mittelwert: 12.5  CPU_temp: 33.6 C  T: 20.71 P: 1019.1 Hm: 97.0 F: 0.03
2021-06-12 08:20:16 n=: 29500 Mittelwert: 12.6  CPU_temp: 34.2 C  T: 21.74 P: 1019.2 Hm: 97.0 F: 0.21
2021-06-12 08:40:15 n=: 30680 Mittelwert: 12.9  CPU_temp: 33.6 C  T: 21.17 P: 1019.5 Hm: 97.0 F: 0.02
2021-06-12 09:00:15 n=: 31860 Mittelwert: 12.8  CPU_temp: 33.6 C  T: 20.12 P: 1019.8 Hm: 97.0 F: -0.16
